giorno;diff_guariti;diff_tamponi;diff_casi_testati;diff_totale_casi;rapp_totale_casi_tamponi;rapp_totale_casi_casi_testati;mediamobile_tamponi;rapp_mediamobile_tamponi_guariti_tamponi;rapp_mediamobile_tamponi_totale_casi_tamponi
"2020-02-24";"1";"4324";"0";"229";"5,296022201665125";0;"4324";"";""
"2020-02-25";"0";"4299";"0";"93";"2,1632937892533146";0;"4312";"";""
"2020-02-26";"2";"964";"0";"78";"8,091286307053942";0;"3196";"";""
"2020-02-27";"42";"2427";"0";"250";"10,300782859497321";0;"3004";"";""
"2020-02-28";"1";"3681";"0";"238";"6,465634338494974";0;"3139";"";""
"2020-02-29";"4";"2966";"0";"240";"8,091706001348618";0;"3110";"";""
"2020-03-01";"33";"2466";"0";"566";"22,952149229521492";0;"3018";"";""
"2020-03-02";"66";"2218";"0";"342";"15,419296663660957";0;"2717";"";""
"2020-03-03";"11";"2511";"0";"466";"18,558343289526086";0;"2462";"";""
"2020-03-04";"116";"3981";"0";"587";"14,74503893494097";0;"2893";"";""
"2020-03-05";"138";"2525";"0";"769";"30,455445544554454";0;"2907";"";""
"2020-03-06";"109";"3997";"0";"778";"19,46459844883663";0;"2952";"";""
"2020-03-07";"66";"5703";"0";"1247";"21,86568472733649";0;"3343";"";""
"2020-03-08";"33";"7875";"0";"1492";"18,946031746031746";0;"4116";"";""
"2020-03-09";"102";"3889";"0";"1797";"46,207251221393676";0;"4354";"";""
"2020-03-10";"280";"6935";"0";"977";"14,087959625090123";0;"4986";"";""
"2020-03-11";"41";"12393";"0";"2313";"18,663761801016705";0;"6188";"";""
"2020-03-12";"213";"12857";"0";"2651";"20,61911799019989";0;"7664";"";""
"2020-03-13";"181";"11477";"0";"2547";"22,192210507972465";0;"8733";"";""
"2020-03-14";"527";"11682";"0";"3497";"29,934942646807052";0;"9587";"";""
"2020-03-15";"369";"15729";"0";"3590";"22,824082904189712";0;"10709";"";""
"2020-03-16";"414";"13063";"0";"3233";"24,74929189313328";0;"12019";"";""
"2020-03-17";"192";"10695";"0";"3526";"32,96867695184666";0;"12557";"";""
"2020-03-18";"1084";"16884";"0";"4207";"24,917081260364842";0;"13198";"";""
"2020-03-19";"415";"17236";"0";"5322";"30,877233696913436";0;"13824";"";""
"2020-03-20";"689";"24109";"0";"5986";"24,828902069766478";0;"15628";"";""
"2020-03-21";"943";"26336";"0";"6557";"24,8974787363305";0;"17722";"";""
"2020-03-22";"952";"25180";"0";"5560";"22,081016679904685";0;"19072";"";""
"2020-03-23";"408";"17066";"0";"4789";"28,061643032930974";0;"19644";"";""
"2020-03-24";"894";"21496";"0";"5249";"24,418496464458503";0;"21187";"";""
"2020-03-25";"1036";"27481";"0";"5210";"18,95855318219861";0;"22701";"";""
"2020-03-26";"999";"36615";"0";"6153";"16,80458828349037";0;"25469";"";""
"2020-03-27";"589";"33019";"0";"5959";"18,047184954117327";0;"26742";"";""
"2020-03-28";"1434";"35447";"0";"5974";"16,853330324145908";0;"28043";"";""
"2020-03-29";"646";"24504";"0";"5217";"21,290401567091088";0;"27947";"";""
"2020-03-30";"1590";"23329";"0";"4050";"17,360366925286126";0;"28842";"";""
"2020-03-31";"1109";"29609";"0";"4053";"13,688405552365834";0;"30001";"";""
"2020-04-01";"1118";"34455";"0";"4782";"13,878972572921201";0;"30997";"";""
"2020-04-02";"1431";"39809";"0";"4668";"11,725991609937452";0;"31453";"";""
"2020-04-03";"1480";"38617";"0";"4585";"11,873009296423854";0;"32253";"";""
"2020-04-04";"1238";"37375";"0";"4805";"12,856187290969899";0;"32528";"";""
"2020-04-05";"819";"34237";"0";"4316";"12,606244706019803";0;"33919";"";""
"2020-04-06";"1022";"30271";"0";"3599";"11,889266955171616";0;"34910";"";""
"2020-04-07";"1555";"33713";"0";"3039";"9,014326817548127";0;"35497";"";""
